Name,Type,Cost (Cryte),Cost (Morals),Damage,Weight,Properties,Special,Custom Accent Color,@EOL
Greatsword,Martial Melee Weapon,,,2d6 Slashing,6 lbs,"Heavy, Two Handed",,,@EOL
Longsword,Martial Melee Weapon,,,1d8 Slashing,3 lbs,Versatile (1d10),,,@EOL
Halberd,Martial Melee Weapon,,,1d10 Slashing,6 lbs,"Heavy, Reach, Two Handed",,,@EOL
Dagger,Simple Melee Weapon,,,1d4 Piercing,1 lb,"Finesse, Light, Thrown (range 20/60)",,,@EOL
Spear,Simple Melee Weapon,,,1d6 Piercing,3 lbs,"Thrown (range 20/60), Versatile (1d8)",,,@EOL
Sickle,Simple Melee Weapon,,,1d4 Slashing,2 lbs,Light,,,@EOL
Greataxe,Martial Melee Weapon,,,1d12 Slashing,7 lbs,"Heavy, Two-Handed",,,@EOL
Battleaxe,Martial Melee Weapon,,,1d8 Slashing,4 lbs,Versatile (1d10),,,@EOL
Warhammer,Martial Melee Weapon,,,1d8 Bludgeoning,2 lbs,Versatile (1d10),,,@EOL
Katana,Martial Melee Weapon,,,1d8 Slashing,3 lbs,Versatile (1d10),,,@EOL
Rapier,Martial Melee Weapon,,,1d8 Piercing,2 lbs,Finesse,,,@EOL
Shortsword,Martial Melee Weapon,,,1d6 Slashing,2 lbs,"Finesse, Light",,,@EOL
Claymore,Martial Melee Weapon,,,2d4 Slashing,6 lbs,"Heavy, Two Handed",,,@EOL
Axe,Simple Melee Weapon,,,1d6 Slashing,2 lbs,"Light, Thrown (20/60)",,,@EOL
Hatchet,Simple Melee Weapon,,,1d6 Slashing,2 lbs,"Light, Thrown (20/60)",,,@EOL
Shovel,Improvised Melee Weapon,,,1d6 Bludgeoning,5 lbs,"Reach, Two Handed",,,@EOL
Pitchfork,Martial Melee Weapon,,,1d6 Piercing,5 lbs,"Versatile (1d8), Thrown (range 20/60)",,,@EOL
Battering Ram,Martial Melee Weapon,,,2d6 Bludgeoning,50 lbs,"Heavy, Reach, Two Handed",,,@EOL
Quarter Staff,Simple Melee Weapon,,,1d6 Bludgeoning,4 lbs,Versatile (1d8),,,@EOL
Bo Staff,Martial Melee Weapon,,,2d4 Bludgeoning,6 lbs,"Heavy, Two Handed, Reach",,,@EOL
Knuckles,Simple Melee Weapon,,,1d4 Bludgeoning,1 lb,"Light, Hidden",,,@EOL
Gauntlets,Simple Melee Weapon,,,1d6 Bludgeoning,2 lbs,Glove,,,@EOL
Cestus,Simple Melee Weapon,,,1d4 Bludgeoning,0.5 lbs,"Glove, Hidden, Light",,,@EOL
Spiked Gauntlets,Simple Melee Weapon,,,1d6 Piercing,2 lbs,Glove,,,@EOL
